variant,domain,n,mean_intent_satisfaction,mean_personalization_target_use,mean_overpersonalization,mean_specificity,mean_safety,mean_overall
V0_generic_single,ecommerce,2,1.00,1.00,1.00,2.00,5.00,1.00
V0_generic_single,education,4,2.00,2.00,1.00,2.50,5.00,2.00
V0_generic_single,health_medical,4,2.25,1.50,1.00,2.75,5.00,2.25
V1_generic_fanout,ecommerce,2,2.00,2.00,1.00,2.50,5.00,2.00
V1_generic_fanout,education,4,2.50,2.50,1.00,3.00,5.00,2.50
V1_generic_fanout,health_medical,4,3.50,3.50,1.50,3.75,5.00,3.50
V2_synthesis_only_personalization,ecommerce,2,4.50,5.00,1.00,4.50,5.00,4.50
V2_synthesis_only_personalization,education,4,4.50,4.50,1.00,4.50,5.00,4.50
V2_synthesis_only_personalization,health_medical,4,4.50,4.25,1.00,4.50,5.00,4.50
V3_personalized_fanout,ecommerce,2,5.00,5.00,2.50,5.00,5.00,4.50
V3_personalized_fanout,education,4,5.00,5.00,1.00,5.00,5.00,5.00
V3_personalized_fanout,health_medical,4,4.75,5.00,1.75,5.00,5.00,4.75
V4_mixed_fanout,ecommerce,2,5.00,5.00,3.50,5.00,5.00,3.50
V4_mixed_fanout,education,4,5.00,5.00,1.25,5.00,5.00,5.00
V4_mixed_fanout,health_medical,4,5.00,5.00,1.25,5.00,5.00,4.75
