example_id,persona_id,domain,query_type,ambiguous_query,clear_hidden_intent
ex_7842_eco_upholstery,user_7842,ecommerce,personalization_required,What is the best fabric for reupholstering dining chairs?,"The user is searching for durable, heavy-duty upholstery fabric that is made of 100% natural fibers (specifically linen or cotton canvas) to restore dining chairs, strictly avoiding synthetic materials like polyester or polyurethane, and preferring eco-friendly, plastic-free packaging options."
eg_edu_7842_id_training,user_7842,education,personalization_helpful,recommended instructional design training programs,"The user is looking for flexible, self-paced online instructional design certification or training programs that focus on corporate e-learning design, highlight accessibility and Universal Design for Learning (UDL) standards, and are delivered via accessible, keyboard-navigable learning platforms."
eg_ecommerce_7842_upholstery,user_7842,ecommerce,personalization_helpful,durable fabric for armchair restoration,"The user is looking for highly durable, heavy-weight natural upholstery fabric (such as 100% heavy linen or cotton canvas) for a DIY wooden armchair restoration project, avoiding synthetic fibers like polyester or nylon and preferring plastic-free, sustainable packaging."
ux_design_transition_course_query,user_2984_eco_tech_pioneer,education,personalization_required,Which design course should I take next?,"The user is looking for self-paced, visual-centric, and technical educational courses or resources to transition their career from traditional print illustration/graphic design to digital UI/UX design and accessibility compliance (specifically WCAG guidelines)."
ex_health_med_2984_allergy_evidence,user_2984_eco_tech_pioneer,health_medical,personalization_helpful,Do air purifiers actually help with indoor allergies?,"The user wants to know if there is rigorous, peer-reviewed scientific evidence (like randomized controlled trials or systematic reviews) showing that HEPA air purifiers clinically reduce symptoms for indoor allergens, specifically dust mites and pollen."
edu_ux_design_systems_2984,user_2984_eco_tech_pioneer,education,personalization_helpful,Where should I start with learning design systems?,"The user wants to find self-paced, visually-driven resources and interactive guides to learn how to build digital UI design systems (like component libraries in Figma) incorporating web accessibility standards (WCAG), catering to their transition from traditional graphic design to UI/UX."
ex_0093847,user_7842,health_medical,personalization_required,exercises for hand and wrist strain,"The user is looking for highly structured, evidence-based physical therapy exercises (specifically median nerve gliding and tendon gliding protocols) to manage mild bilateral carpal tunnel syndrome and wrist repetitive strain, presented in a structured format suitable for self-directed rehabilitation."
eval_travel_user_7842_spring_break,user_7842,travel,personalization_helpful,Where should we go for spring break?,"Plan a spring break trip from the Pacific Northwest for a parent and pre-teen child, prioritizing eco-friendly travel modes (train or scenic drive, avoiding flights), featuring flat, easy-hiking nature trails, and accommodation options like cabins with kitchens, while strictly avoiding crowded theme parks, cruises, or highly commercialized resort strips."
req_travel_7842_001,user_7842,travel,personalization_required,Plan a 5-day spring break trip to Glacier National Park.,"The user wants to plan a 5-day spring break trip from the Pacific Northwest to Glacier National Park traveling strictly by train (Amtrak Empire Builder), staying in a cabin with a kitchen, and planning low-impact, flat, family-friendly hikes for a parent and pre-teen."
9ca108f9-4db8-4b71-9257-2e86b2401777,user_7842,health_medical,overpersonalization_trap,best ways to treat a minor kitchen burn at home,"The user is seeking standard, clinically approved, evidence-based first-aid procedures to treat a minor first-degree kitchen burn. They need safe, non-pharmacological immediate care steps (such as cool running water and sterile dressing) and should not be recommended DIY home remedies, despite their general profile history of woodcrafting and natural DIY projects."
search_behavior_test_2984_helmet,user_2984_eco_tech_pioneer,ecommerce,overpersonalization_trap,reliable bike helmet for daily commuting,"The user is looking for a reliable, highly-rated bicycle helmet for daily commuting. While they are a dedicated secondary-market enthusiast who prefers refurbished and secondhand items, bicycle safety gear (helmets) must always be purchased brand new to guarantee structural integrity. The agent must bypass their secondhand preference for safety reasons, while still respecting their budget constraints and preference for sustainable packaging or recyclable materials in new products."
search_behavior_edu_7842_trap,user_7842,education,overpersonalization_trap,What software should I learn for course development?,"The user wants to identify the standard e-learning authoring and course development software tools required for professional instructional design roles in corporate or higher education sectors, in order to prepare for their career transition."
ex_002984_headphones,user_2984_eco_tech_pioneer,ecommerce,personalization_required,noise-canceling headphones recommendation,"The user is looking for moderately priced, highly repairable or modular over-ear noise-canceling headphones (ideally certified refurbished, or brands specializing in circular-economy modular electronics like AIAIAI or Fairbuds) that avoid planned obsolescence, feature zero-waste/minimal plastic packaging, and are compact enough to be easily transported on a bicycle."
example_health_medical_op_trap_01,user_2984_eco_tech_pioneer,health_medical,overpersonalization_trap,best treatments for sudden eye redness and itching,"The user is looking for a broad, scientifically objective overview of clinical treatments and potential causes for a sudden onset of eye redness and itching. They need a comprehensive medical comparison of allergic vs. infectious conjunctivitis, rather than having the search results prematurely filtered or biased toward their personal history of dust mite allergies, stinging nettle trials, or local public transit clinics."
