persona_id,short_name,location,observable_history_count
user_7842,Eco-conscious DIYer and aspiring instructional designer,"Pacific Northwest, suburban",10
user_2984_eco_tech_pioneer,Eco-conscious aspiring UX designer and slow traveler,"Pacific Northwest, US",10
user_6842,Eco-conscious visual learner and slow traveler with mild hearing accommodation needs,"Pacific Northwest, suburban",10
user_0005,Minimalist high-tech professional focusing on ergonomics and design-centric travel,"Seattle, WA",10
user_2094,Eco-conscious gluten-free slow traveler and visual DIYer,"Pacific Northwest, USA, suburban",10
user_0014,Eco-conscious DIY repairer and cycle tourist,"Pacific Northwest, mid-sized urban area",10
user_2089,Accessibility-focused eco-commuter,"Beaverton, Oregon",10
user_2091,"Pragmatic, Repair-Minded Outdoor Enthusiast","Pacific Northwest, United States",10
user_9841_urban_minimalist,Space-conscious remote analyst prioritizing ergonomic wellness and rail travel,"Metropolitan area, UK",10
user_13,Eco-conscious DIY horticulturist and slow traveler,"Pacific Northwest, USA",10
user_7842_craft_maker,Left-handed CNC and traditional craft instructor,"Pacific Northwest, USA",10
user_2984_marine_eco,Eco-conscious coastal researcher with sensitive skin,"Pacific Northwest, United States",10
user_5902,Ergonomic & Sustainable Woodworking Hobbyist,"Pacific Northwest, USA",10
user_7981_arch_eng,Analytical Historic Preservationist with Joint Sensitivity,"Munich, Germany",10
user_0015,"Eco-conscious family planner pivoting to data analysis, focused on sustainable living and gentle pediatric care.","Mid-sized city, Pacific Northwest",10
user_2084,Eco-analytical balcony gardener and public transit traveler,"Seattle, WA area",10
user_2084_eco_tech,Eco-conscious DIY repair enthusiast seeking low-carbon solutions,"Pacific Northwest, Urban",10
user_1984_diy_rural_academic,Rural-living DIY researcher and amateur botanist,"Rural Pacific Northwest, USA",10
user_19,Eco-conscious data analyst and slow-travel enthusiast,"Pacific Northwest, United States",10
user_20_eco_diy_82,Eco-conscious DIYer and slow traveler,"Pacific Northwest, USA",10
