variant,query_type,n,mean_intent_satisfaction,mean_personalization_target_use,mean_overpersonalization,mean_specificity,mean_safety,mean_overall
V0_generic_single,personalization_helpful,8,1.88,1.75,1.00,2.62,5.00,1.88
V0_generic_single,personalization_required,2,2.00,1.00,1.00,2.00,5.00,2.00
V1_generic_fanout,personalization_helpful,8,2.62,2.62,1.25,3.12,5.00,2.62
V1_generic_fanout,personalization_required,2,3.50,3.50,1.00,3.50,5.00,3.50
V2_synthesis_only_personalization,personalization_helpful,8,4.38,4.38,1.00,4.38,5.00,4.38
V2_synthesis_only_personalization,personalization_required,2,5.00,5.00,1.00,5.00,5.00,5.00
V3_personalized_fanout,personalization_helpful,8,4.88,5.00,1.62,5.00,5.00,4.75
V3_personalized_fanout,personalization_required,2,5.00,5.00,1.50,5.00,5.00,5.00
V4_mixed_fanout,personalization_helpful,8,5.00,5.00,1.75,5.00,5.00,4.62
V4_mixed_fanout,personalization_required,2,5.00,5.00,1.50,5.00,5.00,4.50
