task_type,metric,contrast_name,variant_a,variant_b,mean_a,mean_b,diff_a_minus_b,higher_is_better
retrieval_sensitive,fanout_faithfulness_to_user_query,synthesis personalization effect,V2_synthesis_only_personalization,V1_generic_fanout,5.00,5.00,0.00,true
retrieval_sensitive,fanout_faithfulness_to_user_query,marginal personalized fan-out effect given personalized synthesis,V3_personalized_fanout,V2_synthesis_only_personalization,5.00,5.00,0.00,true
retrieval_sensitive,fanout_faithfulness_to_user_query,full personalization gain over generic fan-out,V3_personalized_fanout,V1_generic_fanout,5.00,5.00,0.00,true
retrieval_sensitive,fanout_faithfulness_to_user_query,mixed/disconfirming fan-out effect,V4_mixed_fanout,V3_personalized_fanout,5.00,5.00,0.00,true
retrieval_sensitive,fanout_overpersonalization_risk,synthesis personalization effect,V2_synthesis_only_personalization,V1_generic_fanout,1.00,1.00,0.00,false
retrieval_sensitive,fanout_overpersonalization_risk,marginal personalized fan-out effect given personalized synthesis,V3_personalized_fanout,V2_synthesis_only_personalization,1.50,1.00,0.50,false
retrieval_sensitive,fanout_overpersonalization_risk,full personalization gain over generic fan-out,V3_personalized_fanout,V1_generic_fanout,1.50,1.00,0.50,false
retrieval_sensitive,fanout_overpersonalization_risk,mixed/disconfirming fan-out effect,V4_mixed_fanout,V3_personalized_fanout,1.00,1.50,-0.50,false
retrieval_sensitive,fanout_persona_field_use,synthesis personalization effect,V2_synthesis_only_personalization,V1_generic_fanout,1.00,1.00,0.00,true
retrieval_sensitive,fanout_persona_field_use,marginal personalized fan-out effect given personalized synthesis,V3_personalized_fanout,V2_synthesis_only_personalization,5.00,1.00,4.00,true
retrieval_sensitive,fanout_persona_field_use,full personalization gain over generic fan-out,V3_personalized_fanout,V1_generic_fanout,5.00,1.00,4.00,true
retrieval_sensitive,fanout_persona_field_use,mixed/disconfirming fan-out effect,V4_mixed_fanout,V3_personalized_fanout,5.00,5.00,0.00,true
retrieval_sensitive,fanout_query_diversity,synthesis personalization effect,V2_synthesis_only_personalization,V1_generic_fanout,2.50,2.00,0.50,true
retrieval_sensitive,fanout_query_diversity,marginal personalized fan-out effect given personalized synthesis,V3_personalized_fanout,V2_synthesis_only_personalization,4.00,2.50,1.50,true
retrieval_sensitive,fanout_query_diversity,full personalization gain over generic fan-out,V3_personalized_fanout,V1_generic_fanout,4.00,2.00,2.00,true
retrieval_sensitive,fanout_query_diversity,mixed/disconfirming fan-out effect,V4_mixed_fanout,V3_personalized_fanout,5.00,4.00,1.00,true
retrieval_sensitive,fanout_query_specificity,synthesis personalization effect,V2_synthesis_only_personalization,V1_generic_fanout,3.00,3.00,0.00,true
retrieval_sensitive,fanout_query_specificity,marginal personalized fan-out effect given personalized synthesis,V3_personalized_fanout,V2_synthesis_only_personalization,4.50,3.00,1.50,true
retrieval_sensitive,fanout_query_specificity,full personalization gain over generic fan-out,V3_personalized_fanout,V1_generic_fanout,4.50,3.00,1.50,true
retrieval_sensitive,fanout_query_specificity,mixed/disconfirming fan-out effect,V4_mixed_fanout,V3_personalized_fanout,5.00,4.50,0.50,true
retrieval_sensitive,fanout_search_realism,synthesis personalization effect,V2_synthesis_only_personalization,V1_generic_fanout,4.00,4.00,0.00,true
retrieval_sensitive,fanout_search_realism,marginal personalized fan-out effect given personalized synthesis,V3_personalized_fanout,V2_synthesis_only_personalization,5.00,4.00,1.00,true
retrieval_sensitive,fanout_search_realism,full personalization gain over generic fan-out,V3_personalized_fanout,V1_generic_fanout,5.00,4.00,1.00,true
retrieval_sensitive,fanout_search_realism,mixed/disconfirming fan-out effect,V4_mixed_fanout,V3_personalized_fanout,5.00,5.00,0.00,true
retrieval_sensitive,final_actionability_without_overclaiming,synthesis personalization effect,V2_synthesis_only_personalization,V1_generic_fanout,5.00,5.00,0.00,true
retrieval_sensitive,final_actionability_without_overclaiming,marginal personalized fan-out effect given personalized synthesis,V3_personalized_fanout,V2_synthesis_only_personalization,5.00,5.00,0.00,true
retrieval_sensitive,final_actionability_without_overclaiming,full personalization gain over generic fan-out,V3_personalized_fanout,V1_generic_fanout,5.00,5.00,0.00,true
retrieval_sensitive,final_actionability_without_overclaiming,mixed/disconfirming fan-out effect,V4_mixed_fanout,V3_personalized_fanout,5.00,5.00,0.00,true
retrieval_sensitive,final_domain_safety,synthesis personalization effect,V2_synthesis_only_personalization,V1_generic_fanout,5.00,5.00,0.00,true
retrieval_sensitive,final_domain_safety,marginal personalized fan-out effect given personalized synthesis,V3_personalized_fanout,V2_synthesis_only_personalization,5.00,5.00,0.00,true
retrieval_sensitive,final_domain_safety,full personalization gain over generic fan-out,V3_personalized_fanout,V1_generic_fanout,5.00,5.00,0.00,true
retrieval_sensitive,final_domain_safety,mixed/disconfirming fan-out effect,V4_mixed_fanout,V3_personalized_fanout,5.00,5.00,0.00,true
retrieval_sensitive,final_groundedness,synthesis personalization effect,V2_synthesis_only_personalization,V1_generic_fanout,5.00,5.00,0.00,true
retrieval_sensitive,final_groundedness,marginal personalized fan-out effect given personalized synthesis,V3_personalized_fanout,V2_synthesis_only_personalization,4.50,5.00,-0.50,true
retrieval_sensitive,final_groundedness,full personalization gain over generic fan-out,V3_personalized_fanout,V1_generic_fanout,4.50,5.00,-0.50,true
retrieval_sensitive,final_groundedness,mixed/disconfirming fan-out effect,V4_mixed_fanout,V3_personalized_fanout,5.00,4.50,0.50,true
retrieval_sensitive,final_intent_satisfaction,synthesis personalization effect,V2_synthesis_only_personalization,V1_generic_fanout,5.00,5.00,0.00,true
retrieval_sensitive,final_intent_satisfaction,marginal personalized fan-out effect given personalized synthesis,V3_personalized_fanout,V2_synthesis_only_personalization,5.00,5.00,0.00,true
retrieval_sensitive,final_intent_satisfaction,full personalization gain over generic fan-out,V3_personalized_fanout,V1_generic_fanout,5.00,5.00,0.00,true
retrieval_sensitive,final_intent_satisfaction,mixed/disconfirming fan-out effect,V4_mixed_fanout,V3_personalized_fanout,5.00,5.00,0.00,true
retrieval_sensitive,final_missing_constraint_awareness,synthesis personalization effect,V2_synthesis_only_personalization,V1_generic_fanout,4.00,3.00,1.00,true
retrieval_sensitive,final_missing_constraint_awareness,marginal personalized fan-out effect given personalized synthesis,V3_personalized_fanout,V2_synthesis_only_personalization,4.00,4.00,0.00,true
retrieval_sensitive,final_missing_constraint_awareness,full personalization gain over generic fan-out,V3_personalized_fanout,V1_generic_fanout,4.00,3.00,1.00,true
retrieval_sensitive,final_missing_constraint_awareness,mixed/disconfirming fan-out effect,V4_mixed_fanout,V3_personalized_fanout,5.00,4.00,1.00,true
retrieval_sensitive,final_non_genericness,synthesis personalization effect,V2_synthesis_only_personalization,V1_generic_fanout,5.00,4.50,0.50,true
retrieval_sensitive,final_non_genericness,marginal personalized fan-out effect given personalized synthesis,V3_personalized_fanout,V2_synthesis_only_personalization,5.00,5.00,0.00,true
retrieval_sensitive,final_non_genericness,full personalization gain over generic fan-out,V3_personalized_fanout,V1_generic_fanout,5.00,4.50,0.50,true
retrieval_sensitive,final_non_genericness,mixed/disconfirming fan-out effect,V4_mixed_fanout,V3_personalized_fanout,5.00,5.00,0.00,true
retrieval_sensitive,final_overpersonalization,synthesis personalization effect,V2_synthesis_only_personalization,V1_generic_fanout,1.00,1.00,0.00,false
retrieval_sensitive,final_overpersonalization,marginal personalized fan-out effect given personalized synthesis,V3_personalized_fanout,V2_synthesis_only_personalization,1.00,1.00,0.00,false
retrieval_sensitive,final_overpersonalization,full personalization gain over generic fan-out,V3_personalized_fanout,V1_generic_fanout,1.00,1.00,0.00,false
retrieval_sensitive,final_overpersonalization,mixed/disconfirming fan-out effect,V4_mixed_fanout,V3_personalized_fanout,1.00,1.00,0.00,false
retrieval_sensitive,final_personalization_target_use,synthesis personalization effect,V2_synthesis_only_personalization,V1_generic_fanout,5.00,3.50,1.50,true
retrieval_sensitive,final_personalization_target_use,marginal personalized fan-out effect given personalized synthesis,V3_personalized_fanout,V2_synthesis_only_personalization,5.00,5.00,0.00,true
retrieval_sensitive,final_personalization_target_use,full personalization gain over generic fan-out,V3_personalized_fanout,V1_generic_fanout,5.00,3.50,1.50,true
retrieval_sensitive,final_personalization_target_use,mixed/disconfirming fan-out effect,V4_mixed_fanout,V3_personalized_fanout,5.00,5.00,0.00,true
retrieval_sensitive,final_safety,synthesis personalization effect,V2_synthesis_only_personalization,V1_generic_fanout,5.00,5.00,0.00,true
retrieval_sensitive,final_safety,marginal personalized fan-out effect given personalized synthesis,V3_personalized_fanout,V2_synthesis_only_personalization,5.00,5.00,0.00,true
retrieval_sensitive,final_safety,full personalization gain over generic fan-out,V3_personalized_fanout,V1_generic_fanout,5.00,5.00,0.00,true
retrieval_sensitive,final_safety,mixed/disconfirming fan-out effect,V4_mixed_fanout,V3_personalized_fanout,5.00,5.00,0.00,true
retrieval_sensitive,final_specificity,synthesis personalization effect,V2_synthesis_only_personalization,V1_generic_fanout,5.00,5.00,0.00,true
retrieval_sensitive,final_specificity,marginal personalized fan-out effect given personalized synthesis,V3_personalized_fanout,V2_synthesis_only_personalization,5.00,5.00,0.00,true
retrieval_sensitive,final_specificity,full personalization gain over generic fan-out,V3_personalized_fanout,V1_generic_fanout,5.00,5.00,0.00,true
retrieval_sensitive,final_specificity,mixed/disconfirming fan-out effect,V4_mixed_fanout,V3_personalized_fanout,5.00,5.00,0.00,true
retrieval_sensitive,retrieval_constraint_coverage,synthesis personalization effect,V2_synthesis_only_personalization,V1_generic_fanout,1.00,2.00,-1.00,true
